Source,Target
ESRX,William DeLaney_60
ESRX,Frank Mergenthaler_55
ESRX,Roderick Palmore_64
ESRX,William Roper_67
EXR,Roger Porter_69
XOM,Angela Braly_54
XOM,Michael Boskin_70
XOM,Ursula Burns_57
XOM,Jay Fishman_63
XOM,Henrietta Fore_67
XOM,Kenneth Frazier_61
XOM,Samuel Palmisano_64
XOM,Steven Reinemund_68
XOM,William Weldon_67
FFIV,Jonathan Chadwick_50
FFIV,Stephen Smith_59
FB,Sheryl Sandberg_46
FB,Susan Desmond-Hellmann_58
FB,Marc Andreessen_44
FB,Erskine Bowles_70
FB,Reed Hastings_55
FAST,Michael Dolan_69
FDX,Alan Graf_62
FDX,David Bronczek_61
FDX,Michael Ducker_62
FDX,T. Michael Glenn_60
FDX,James Barksdale_73
FDX,John Edwardson_66
FDX,John Inglis_
FDX,Shirley Jackson_69
FDX,R. Brad Martin_64
FDX,Joshua Ramo_47
FDX,Susan Schwab_61
FDX,David Steiner_55
FIS,Marianne Brown_57
FITB,Jerry Burris_52
FITB,Nicholas Akins_55
FITB,Gary Heminger_62
FITB,Michael McCallister_63
FSLR,Sharon Allen_64
FE,George Smart_70
FE,Robert Heisler_67
FE,Julia Johnson_53
FE,Ernest Novak_71
FISV,Glenn Renwick_60
FISV,Doyle Simons_52
FLIR,Catherine Halligan_53
FLS,William Rusnack_71
FLS,Mark Blinn_54
FLS,Lynn Elsenhans_59
FLS,Joe Harlan_56
FLR,David Seaton_54
FLR,Peter Oosterveer_58
FLR,Peter Fluor_68
FLR,Peter Barker_67
FLR,Alan Bennett_65
FLR,James Hackett_62
FLR,Joseph Prueher_73
FLR,Matthew Rose_56
FMC,Pierre Brondeau_58
FTI,Clarence Cazalot_65
FTI,Peter Oosterveer_58
FTI,James Ringler_70
FL,Steven Oakland_55
F,Mark Fields_
F,Stephen Butler_68
F,Kimberly Casiano_58
F,Anthony Earley_67
F,James Hance_71
F,Jon Huntsman_56
F,William Kennard_59
F,John Lechleiter_62
F,Ellen Marram_69
FTV,Alan Spoon_64
FTV,Patrick Byrne_67
FTV,Mitchell Rales_59
FBHS,David Thomas_66
FBHS,Ann Hackett_62
FBHS,Allan Mackay_60
FBHS,John Morikis_52
FBHS,Norman Wesley_66
BEN,Peter Barker_67
BEN,Mark Pigott_62
BEN,Laura Stein_54
BEN,Geoff Yang_
FCX,Lydia Kennard_61
FCX,Frances Townsend_54
FTR,Pamela Reeve_66
FTR,Daniel McCarthy_51
FTR,Virginia Ruesterholz_54
FTR,Mark Shapiro_46
GPS,Domenico De Sole_72
GPS,Brian Goldner_53
GPS,Jorge Montoya_69
GPS,Mayo Shattuck_61
GD,Phebe Novakovic_58
GD,James Crown_62
GD,Mary Barra_54
GD,William Osborn_68
GD,Laura Schumacher_52
GE,Elizabeth Comstock_55
GE,Francisco D'Souza_47
GE,Andrea Jung_57
GE,Rochelle Lazarus_68
GE,Steven Mollenkopf_47
GE,James Mulva_69
GE,James Rohr_67
GE,James Tisch_63
GGP,David Neithercut_60
GGP,Mark Patterson_55
GIS,Kendall Powell_62
GIS,Bradbury Anderson_67
GIS,R. Kerry Clark_64
GIS,David Cordani_50
GIS,Roger Ferguson_64
GIS,Henrietta Fore_67
GIS,Maria Henry_50
GIS,Robert Ryan_73
GIS,Eric Sprunk_52
GM,Mary Barra_54
GM,Daniel Ammann_44
GM,Theodore Solso_69
GM,Linda Gooden_63
GM,Kathryn Marinello_59
GM,Jane Mendillo_57
GM,James Mulva_69
GM,Patricia Russo_64
GM,Thomas Schoewe_63
GPC,Gary Fayard_64
GPC,John Johns_64
GPC,E. Jenner Wood_64
GILD,Robin Washington_53
GILD,Martin Silverstein_48
GPN,Ruth Marshall_61
GPN,John Partridge_66
GS,M. Michele Burns_58
GT,Richard Kramer_52
GT,W. Alan McCollough_66
GT,James Firestone_61
GT,Werner Geissler_62
GT,Peter Hellman_66
GT,Laurette Koellner_61
GT,Roderick Palmore_64
GT,Stephanie Streeter_58
GT,Thomas Weidemeyer_68
GWW,Stuart Levenick_63
GWW,Rodney Adkins_57
GWW,Brian Anderson_65
GWW,Neil Novich_61
GWW,Michael Roberts_65
GWW,Ernest Santi_54
HAL,J. Landis Martin_70
HAL,Alan Bennett_65
HAL,Milton Carroll_65
HAL,Nance Dicciani_68
HAL,Murry Gerber_63
HAL,Debra Reed_59
HBI,Bobby Griffin_67
HBI,James Johnson_63
HBI,Franck Moison_62
HBI,Andrew Schindler_71
HOG,Michael Cave_55
HOG,Matthew Levatich_51
HOG,Brian Niccol_41
HOG,Sara Levinson_65
HOG,Norman Linebarger_53
HOG,George Miles_74
HAR,Dinesh Paliwal_58
HAR,Ann Korologos_74
HAR,Frank Sklarsky_59
HRS,Lewis Hay_60
HRS,Karen Katen_67
HRS,David Rickard_69
HRS,Hansel Tookes_68
HIG,Michael Morris_69
HIG,Thomas Renyi_70
HIG,Teresa Roseborough_57
HIG,Virginia Ruesterholz_54
HIG,Haywood Swygert_73
HAS,Brian Goldner_53
HAS,Basil Anderson_70
HAS,Alan Batkin_71
HAS,Alan Hassenfeld_67
HAS,Edward Philip_51
HCA,Nancy-Ann DeParle_59
HCA,Thomas Frist_48
HCA,Geoffrey Meyers_71
HCA,John Rowe_70
HCP,Michael McKee_70
HCP,Christine Garvey_70
HP,Hans Helmerich_57
HP,Edward Rust_65
HES,James Quigley_63
HES,Rodney Chase_72
HES,Leonard Coleman_67
HES,Fredric Reynolds_65
HPE,Margaret Whitman_59
HPE,Ann Livermore_57
HPE,Daniel Ammann_44
HPE,Marc Andreessen_44
HPE,Michael Angelakis_51
HPE,Leslie Brun_63
HPE,Pamela Carter_66
HPE,Klaus Kleinfeld_58
HPE,Gary Reiner_61
HPE,Patricia Russo_64
HPE,Mary Wilderotter_61
HOLX,Stephen MacMillan_52
HOLX,Elaine Ullian_68
HOLX,Nancy Leaming_68
HD,Carol Tome_59
HD,Teresa Roseborough_57
HD,Gregory Brenneman_54
HD,Jeffery Boyd_59
HD,Albert Carey_64
HD,Helena Foulkes_51
